APRS Milemark Data.  Copyright 1996-2007  APRS Engineering LLC, Ver 0.6, 3 jul 07. Added all 0-mm and end mm
AL10,0,30.497,88.4
AL10,21,30.642,88.113
AL10,15,30.841,88.107
AL10,15,30.841,88.107
AL10,93,31.44,86.985
AL10,165,32.242,86.37
AL10,238,33.228,86.809
AL10,351,34.777,86.937
AL20,0,32.506,88.437
AL20,71,33.178,87.535
AL20,97,33.258,87.144
AL20,140,33.554,86.58
AL20,215,33.682,85.179
AL20,206, 33.66667 , 85.34834
AL59,0,32.506,88.437
AL59,71,33.178,87.535
AL59,97,33.258,87.144
AL59,137,33.602,86.661
AL59,183,34.031,86.082
AL59,234, 34.66667 , 85.59
AL59,239,34.735,85.57
AL85,0,32.338,86.384
AL85,79,32.85,85.179
AL85,80, 32.855 , 85.18333
AR30,0,33.482,94.05
AR30,78,34.218,93.065
AR30,111,34.538,92.667
AR40,0,35.418,94.506
AR40,127,35.078,92.41
AR40,154,34.794,92.262
AR40,279,35.162,90.183
AR40,285, 35.16667 , 90.08
AZ8,0,32.73,114.628
AZ8,174,32.826,111.732
AZ8,176, 32.82333 , 111.6917
AZ10,0,33.594,114.532
AZ10,260,32.25,110.976
AZ10,281,32.026,110.664
AZ10,304,32.026,110.264
AZ10,352,32.362,109.69
AZ10,382,32.25,109.184
AZ10,393, 32.225 , 109
AZ17,200,33.464,112.122
AZ17,262,34.352,112.122
AZ17,306,34.78,111.658
AZ17,335,35.19,111.706
AZ19,0,31.333,110.94
AZ19,8,31.36,110.938
AZ19,45,31.72,111.068
AZ19,65,31.858,110.98
AZ19,102,32.194,110.978
AZ40,0,34.718,114.468
AZ40,13,34.757,114.228
AZ40,22,34.84,114.135
AZ40,48,35.226,114.09
AZ40,201,35.21,111.576
AZ40,286,34.922,110.136
AZ40,357,35.338,109.033
AZ40,360, 35.38 , 109
CA5,0,32.54372,117.0285
CA5,5,32.58852,117.0765
CA5,13,32.69092,117.1079
CA5,16,32.72292,117.1615
CA5,20,32.75812,117.1965
CA5,26,32.83812,117.2279
CA5,33,32.90692,117.2168
CA5,49,33.12718,117.2877
CA5,79,33.47598,117.6479
CA5,89,33.59598,117.6643
CA5,114,33.84718,117.9403
CA5,133,34.04078,118.1991
CA5,137,34.08718,118.2118
CA5,141,34.12078,118.2627
CA5,149,34.18638,118.31
CA5,162,34.33358,118.5169
CA5,198,34.79438,118.8539
CA5,222,35.03758,118.9837
CA5,278,35.61358,119.6756
CA5,403,37.07278,121.0028
CA5,446,37.59118,121.3522
CA5,428,37.40878,121.159
CA5,471,37.91439,121.3209
CA5,525,38.66959,121.5495
CA5,553,38.82959,121.9332
CA5,578,39.16879,122.1593
CA5,594,39.38639,122.241
CA5,649,40.17999,122.2478
CA5,680,40.60878,122.3484
CA5,695,40.78798,122.3017
CA5,707,40.96718,122.4417
CA5,732,41.24238,122.2351
CA5,773,41.69998,122.6278
CA5,796,41.99758,122.6474
CA8,0,32.757,117.228
CA8,7,32.77573,117.0967
CA8,20,32.80373,116.9315
CA8,28,32.87573,116.8283
CA8,33,32.83413,116.7146
CA8,41,32.85813,116.5635
CA8,52,32.72853,116.4547
CA8,75,32.64213,116.1206
CA8,89,32.77013,115.9321
CA8,107,32.77653,115.7568
CA8,131,32.77493,115.2716
CA8,151,32.71253,114.9542
CA8,159,32.76213,114.8231
CA8,171,32.73173,114.622
CA10,0,34.02532,118.49
CA10,16,34.03812,118.2008
CA10,18,34.06212,118.1928
CA10,31,34.07492,117.9699
CA10,36,34.08132,117.8935
CA10,42,34.07172,117.8044
CA10,51,34.08612,117.6409
CA10,58,34.07652,117.5245
CA10,74,34.07012,117.2337
CA10,86,34.00612,117.0356
CA10,91,33.94372,116.9574
CA10,117,33.92772,116.5751
CA10,145,33.71012,116.1309
CA10,168,33.65572,115.7804
CA10,192,33.71652,115.3497
CA10,216,33.60132,114.9627
CA10,241,33.61092,114.5351
CA15,0,32.667,117.122
CA15,1,32.69213,117.1198
CA15,5,32.72333,117.0884
CA15,12,32.84573,117.1124
CA15,18,32.93213,117.1087
CA15,28,33.06973,117.0571
CA15,39,33.24733,117.1527
CA15,46,33.34333,117.1362
CA15,49,33.38813,117.1618
CA15,56,33.48093,117.1234
CA15,77,33.70173,117.3247
CA15,81,33.74493,117.3703
CA15,88,33.76733,117.4689
CA15,96,33.89053,117.5419
CA15,112,34.11133,117.5091
CA15,123,34.22173,117.3855
CA15,131,34.31613,117.4636
CA15,133,34.34653,117.469
CA15,135,34.36253,117.4237
CA15,153,34.54493,117.2897
CA15,184,34.90973,116.986
CA15,246,35.28093,116.0647
CA15,286,35.47932,115.4485
CA15,294,35.58173,115.4021
CA15,295, 35.59834 , 115.3983
CA40,0,34.8888,117.0073
CA40,50,34.7416,116.1252
CA40,115,34.8184,115.1048
CA40,137,34.8952,114.6833
CA40,153,34.7128,114.5177
CA80,0,37.77094,122.4075
CA80,8,37.83094,122.2923
CA80,18,37.96373,122.333
CA80,27,38.05494,122.2275
CA80,35,38.16693,122.2102
CA80,45,38.23893,122.067
CA80,43,38.25653,122.0549
CA80,56,38.37973,121.9481
CA80,70,38.51733,121.752
CA80,89,38.56533,121.5042
CA80,119,38.91734,121.0513
CA80,160,39.30774,120.6962
CA80,165,39.30453,120.5162
CA80,194,39.36213,120.034
CA80,202,39.44854,120.0001
CA80,205, 39.485 , 119.9917
CA101,0,34.06347,118.1974
CA101,13,34.15627,118.3664
CA101,27,34.17067,118.6009
CA101,34,34.13867,118.73
CA101,70,34.28267,119.2784
CA101,97,34.43627,119.6921
CA101,129,34.48747,120.2278
CA101,146,34.69547,120.159
CA101,208,35.16908,120.6966
CA101,239,35.74187,120.7073
CA101,328,36.69548,121.6548
CA101,357,37.01548,121.5422
CA101,385,37.34828,121.8659
CA101,414,37.55307,122.2982
CA101,423,37.62988,122.3992
CA101,433,37.77068,122.4027
CA101,438,37.80268,122.4688
CA101,451,37.95628,122.5106
CA101,522,38.86507,123.0835
CA101,609,39.82507,123.5687
CA101,616,39.85707,123.7328
CA101,645,40.20267,123.8069
CA101,692,40.63147,124.2246
CA101,712,40.89388,124.0847
CA101,730,41.10507,124.178
CA101,794,41.81547,124.1515
CA101,811, 42 , 124.1933
CA101,812,42.00107,124.1846
CA110,0,33.719,118.283
CA110,1,33.73653,118.2816
CA110,21,34.03574,118.2652
CA110,31,34.12374,118.1705
