BIG TALL digis that may be hearing TOO MANY STATIONS  Dec 2004
--------------------------------------------------------------

This is a list of ALL known DIGI's in the world heard by
FINDU.  Use it to see if your digi may be having severe
reliablity problems for local users because it is hearing
too many stations in its area (its own claimed PHG range).

Since anything above about 60 users average is a 100% saturated 
channel (called your ALOHA range), digis with more users appear 
to just hear too much to be able to reliably support local users.

It might be better to let the smaller lower digis closer
to the users be the first hop and for these big digis to
digipeate all that they hear over onto a UHF channel only
so that they dont digipeat back on the national channel
where they will cut the channel throughput by 50%!

Or if the PHG here is unrealistic for your digi, then
consider updating your PHGXXXX string to better match reality.

Sorted by CALLSIGN:

DIGI-CALL  PHG       RNG  STNS
---------  -------   ---- ----
0BJ-10     PHG5660   53   17 
0NAS-11    PHG6340   18   2 
144800     PHG2050   4    8 
1RPM       PHG7211   11   2 
2JPJ-1     PHG5750   71   70 
3FRS-7     PHG2110   4.5  19 
3RPG-2     PHG5728   60   15 
3ZV-1      PHG5630   45   11 
5GB-2      PHG4357   16   4 
8DOLAR     PHG7850   119  59 
A3JY-4     PHG7260   15   30 
AA0AW-10   PHG7460   31   14 
AA3JY-4    PHG7260   15   30 
AA4QI-1    PHG5660   53   61 
AA5ED-2    PHG5670   56   33 
AA5ED-3    PHG5670   56   33 
AA5ED-5    PHG5670   56   9 
AA7-10     PHG5660   53   6 
AA7GK-10   PHG5660   53   6 
AA9MM-10   PHG8460   33   30 
AA9MM-9    PHG8460   33   30 
AB0XM-10   PHG8440   30   8 
AB4KN-2    PHG7550   42   88 
AB5CC-4    PHG4580   37   10 
AB5WF      PHG7460   31   28 
AB5WF-14   PHG7460   31   28 
AB5WF-15   PHG7460   31   28 
AB7HP-10   PHG3300   10   19 
AB8DT-12   PHG6460   29   29 
ABAJO      PHG6868   117  19 
AC6ET-3    PHG5240   11   3 
AD4BL-7    PHG7670   67   5 
AD4TZ      PHG4340   15   4 
AD4TZ-3    PHG5640   47   19 
AD4TZ-5    PHG5760   75   29 
AE4KO-10   PHG6150   9.8  31 
AI5TX-1    PHG9660   71   18 
AI5TX-2    PHG9550   47   83 
AI5TX-7    PHG7350   21   1 
AI6MD-3    PHG7160   11   9 
AJO        PHG6868   117  19 
ANAGA      PHG1056   2.8  1 
ANGFIR     PHG4730   56   12 
ARBUKL     PHG5630   45   28 
AUSTIN     PHG1700   23   1 
BAKER      PHG5960   151  106 
BALL       PHG7830   106  31 
BAXTER     PHG7830   106  19 
BEAR       PHG4830   80   53 
BEARES-1   PHG2120   4.7  4 
BENRDG     PHG7730   75   10 
BLKWTR     PHG6530   34   20 
BOAT       PHG5660   53   10 
BOAT-15    PHG5660   53   10 
BSLIDE     PHG7830   106  114 
BULLMT     PHG2667   33   101 
CABALL     PHG7830   106  31 
CALMTN     PHG5820   84   89 
CANAB      PHG7825   100  17 
CANCTY     PHG4730   56   43 
CAPILA     PHG6730   69   67 
CAPTAH     PHG2830   56   11 
CAPTAN     PHG2830   56   11 
CAVE       PHG9800   101  4 
CEDRO      PHG4630   40   61 
CHNDLR     PHG3530   24   2 
CHNTLR     PHG3530   24   13 
CLEELM     PHG2560   23   5 
CLRMRE     PHG3630   34   40 
CNABAR     PHG5960   151  64 
COALMT     PHG3730   49   10 
COLDSP     PHG5940   134  75 
COREY      PHG7800   89   28 
COWMTN     PHG7730   75   11 
CREST      PHG5930   127  92 
CS1ARM     PHG2110   4.5  2 
CS1RLA     PHG3330   12   5 
CS6ARC-3   PHG2050   4    1 
CS6ARC-4   PHG1230   5    9 
CS6RPA     PHG3330   12   1 
CT0TGM-3   PHG2050   4    1 
CT0XCA     PHG3330   12   1 
CT0XFO     PHG3830   69   14 
CT0XNO-3   PHG2110   4.5  1 
CT0XOD-3   PHG2110   4.5  9 
CT0XPE-3   PHG2050   4    5 
CT0XSS     PHG3530   24   3 
CT1LAS-3   PHG2110   4.5  5 
CT2HPE-3   PHG7330   18   41 
DARKCN     PHG5730   63   1 
DB0BAC     PHG2250   8    2 
DB0BHN     PHG2453   16   19 
DB0CUX     PHG2560   23   27 
DB0DBU-2   PHG3200   7.3  6 
DB0DS      PHG2530   20   55 
DB0DXM     PHG3280   11   1 
DB0EHS     PHG2110   4.5  2 
DB0EMU     PHG2110   4.5  5 
DB0GAP     PHG3800   58   37 
DB0GER     PHG5630   45   73 
DB0GPS     PHG2130   5    1 
DB0HAT     PHG3280   11   11 
DB0HGW     PHG3530   24   9 
DB0HHN     PHG3540   26   41 
DB0HHO     PHG3240   9.2  3 
DB0HP      PHG2920   75   227 
DB0IBM-2   PHG3360   14   26 
DB0KIL     PHG2250   8    3 
DB0KUN     PHG2250   8    4 
DB0KX-2    PHG2110   4.5  2 
DB0LAB     PHG2300   8.5  5 
DB0LC      PHG2430   14   14 
DB0LMM     PHG2230   7.1  22 
DB0LWL-1   PHG3630   34   12 
DB0MGB     PHG2110   4.5  1 
DB0OI      PHG3200   7.3  4 
DB0QT      PHG2340   10   17 
DB0REC     PHG4110   6.3  11 
DB0RIE     PHG2047   3.8  2 
DB0RTG-2   PHG2110   4.5  12 
DB0RZ      PHG2630   28   33 
DB0SHA     PHG2540   21   18 
DB0WHV     PHG2110   4.5  2 
DB0WRL     PHG3280   11   18 
DB0XHI     PHG3228   8.2  3 
DB0YQ      PHG3604   29   5 
DB0ZUS     PHG3390   17   5 
DB0ZWI     PHG5630   45   71 
DECATU     PHG5360   18   14 
DEZA       PHG7640   56   8 
DF0HHH     PHG3640   36   50 
DG9SR-1    PHG2110   4.5  5 
DIXON      PHG4260   11   2 
DK6WX-2    PHG2205   6    3 
DL1ATW     PHG2110   4.5  1 
DL1RSR-2   PHG2110   4.5  3 
DO0TM      PHG2330   10   13 
DO0WW      PHG1230   5    1 
DUNLAP     PHG5550   35   1 
DVPORT     PHG7730   75   6 
EA1AGZ-7   PHG2110   4.5  2 
EA1G-8     PHG0000   0    0 
EA1P-3     PHG2110   4.5  2 
EA1RKS-3   PHG5160   9.4  10 
EA1U-3     PHG2050   4    1 
EA1VQ-3    PHG2260   8.4  2 
EA2AAA-14  PHG2110   4.5  12 
EA2RCU-1   PHG0000   0    0 
EA3CWQ-15  PHG3340   13   9 
EA3EH-15   PHG3340   13   3 
EA3RCS-15  PHG2110   4.5  1 
EA4BVF-3   PHG4760   67   22 
EA4CGY-3   PHG5280   15   9 
EA4E-3     PHG5350   17   7 
EA4EOB-3   PHG2110   4.5  1 
EA4F-3     PHG5130   7.9  5 
EA4G-3     PHG4140   7.5  4 
EA4HP-8    PHG5180   10   1 
EA4I-3     PHG4250   11   1 
EA4Q-3     PHG3230   8.7  1 
EA4URA-3   PHG5450   25   60 
EA5B-13    PHG3840   73   29 
EA5C-15    PHG2760   47   32 
EA5DVS-14  PHG2110   4.5  2 
EA5ERC-15  PHG2110   4.5  1 
EA5RCY-14  PHG3340   13   3 
EA5RKE-15  PHG3340   13   6 
EA7A-1     PHG2730   40   16 
EA7BHR-3   PHG3330   12   5 
EA7BTQ-5   PHG5060   6.7  4 
EA7HZU-2   PHG4690   56   16 
EA7LX-3    PHG5380   21   3 
EAGLE      PHG6860   117  42 
EB1CKW-3   PHG4250   11   8 
EB1D-15    PHG7080   8.9  2 
EB1F-3     PHG2110   4.5  48 
EB2FGI-1   PHG2110   4.5  2 
EB5GCE-15  PHG0000   0    0 
EB5JGM-15  PHG0000   0    0 
EB8BBJ-1   PHG3090   6.1  5 
EC1H-12    PHG2350   11   3 
EC1I-1     PHG2250   8    1 
EC1L-3     PHG2730   40   22 
ED1ZAB-7   PHG5650   50   17 
ED5ZAA-3   PHG3260   10   4 
EDMNTN     PHG6560   41   37 
EDMOND     PHG8460   33   82 
ELDEN      PHG6730   69   25 
ELKMTN     PHG4830   80   76 
ELLIS      PHG2830   56   37 
ELPASO     PHG5760   75   18 
ETULSA     PHG5660   53   47 
EUREKA     PHG7730   75   65 
EURKA      PHG9800   101  7 
EVNBRG     PHG5530   31   2 
F1BIV-2    PHG5350   17   4 
F1EUC-14   PHG2360   11   19 
F1GRX-4    PHG5560   37   10 
F1LLD-3    PHG4460   23   6 
F1SPK-4    PHG5150   8.9  4 
F1TLV-3    PHG5160   9.4  2 
F1TML-4    PHG4310   12   6 
F1ZRG-3    PHG4660   47   37 
F1ZSH-3    PHG5360   18   6 
F4ABZ      PHG3230   8.7  2 
F4AIE-3    PHG7760   89   92 
F4AII-4    PHG4140   7.5  3 
F4AYI-4    PHG4170   8.9  3 
F4CEP-15   PHG2200   6    8 
F4GCF-15   PHG5740   67   139 
F4GKF-3    PHG5740   67   139 
F4THN-3    PHG2110   4.5  10 
F5ISQ-10   PHG3862   82   250 
F5KCN      PHG2110   4.5  1 
F5KCS-2    PHG2110   4.5  4 
F5KDE-3    PHG5730   63   26 
F5KEI      PHG7530   37   6 
F5KEM-2    PHG4310   12   2 
F5KFZ      PHG3230   8.7  1 
F5KGF-4    PHG4140   7.5  1 
F5KGR      PHG3230   8.7  10 
F5KHC-3    PHG3240   9.2  1 
F5KHI-4    PHG3730   49   22 
F5KIS      PHG2240   7.5  2 
F5KIS-11   PHG2240   7.5  3 
F5KIS-12   PHG2240   7.5  7 
F5KIS-2    PHG2240   7.5  1 
F5KTJ-3    PHG2110   4.5  13 
F5NPL-2    PHG4310   12   3 
F5RAC-4    PHG2440   15   45 
F5RZU-2    PHG6165   10   3 
F5SMW      PHG5560   37   10 
F5SNV-3    PHG4700   47   13 
F5SNV-4    PHG3200   7.3  1 
F5STB-4    PHG4000   4.2  2 
F5ZMC      PHG3610   31   11 
F5ZNJ-3    PHG2110   4.5  1 
F5ZNM-4    PHG4470   25   3 
F5ZOH-3    PHG2530   20   6 
F5ZQB-3    PHG7750   84   205 
F5ZQC-3    PHG3060   5.2  1 
F5ZQD-3    PHG7750   84   221 
F5ZQG-4    PHG4570   35   28 
F6BGR-15   PHG2200   6    3 
