BIG TALL digis that may be hearing TOO MANY STATIONS  Dec 2004
--------------------------------------------------------------

This is a list of ALL known DIGI's in the world heard by
FINDU.  Use it to see if your digi may be having severe
reliablity problems for local users because it is hearing
too many stations in its area (its own claimed PHG range).

Since anything above about 60 users average is a 100% saturated 
channel (called your ALOHA range), digis with more users appear 
to just hear too much to be able to reliably support local users.

It might be better to let the smaller lower digis closer
to the users be the first hop and for these big digis to
digipeate all that they hear over onto a UHF channel only
so that they dont digipeat back on the national channel
where they will cut the channel throughput by 50%!

Or if the PHG here is unrealistic for your digi, then
consider updating your PHGXXXX string to better match reality.

Sorted by largest PHG RANGE:

DIGI-CALL  PHG       RNG  STNS
---------  --------  ---  ----
SV6AQV-11  PHG6990   196  300
K5WWC-2    PHG9950   191  211 
K6IXA-3    PHG5990   179  258 
W6SCE-10   PHG6960   165  300 
W6SCE-11   PHG6960   165  295 
KING       PHG6950   156  114 
CNABAR     PHG5960   151  64 
WB6JAR-10  PHG5960   151  300 
PY1AA-15   PHG5960   151  21 
BAKER      PHG5960   151  106 
SNOBNK     PHG7930   150  74 
WA7RVV-11  PHG6940   147  87 
VE7PAC-12  PHG5950   142  91 
N7YET-10   PHG5950   142  47 
VE7RNL-10  PHG5950   142  112 
KL1SF-3    PHG7888   141  24 
SV2DCD-11  PHG6930   139  296 
MULE       PHG4960   135  98 
K7MT-10    PHG4960   135  45 
N6EX-2     PHG4960   135  300 
COLDSP     PHG5940   134  75 
WA7RVV-12  PHG5940   134  73 
JOJ        PHG7870   133  97 
TESQUE     PHG5930   127  95 
CREST      PHG5930   127  92 
LAMOSC     PHG5930   127  91 
GRNBOX     PHG5930   127  82 
VE2RCL-3   PHG5890   127  70 
VE2RPL-3   PHG5890   127  62 
SIGNAL     PHG5890   127  300 
VE7RES     PHG5890   127  25 
VE2RLT-3   PHG5890   127  182 
N7XYR-1    PHG5934   127  15 
J43VAG     PHG7860   126  300 
SV2BNL-12  PHG6870   124  298 
W4FXO-3    PHG6870   124  206 
SHEPRD     PHG6910   124  121 
KB7ZVA-11  PHG6870   124  111 
W9SM-10    PHG9790   120  139 
J7ZEV-2    PHG5880   119  72 
N7ZEV-2    PHG5880   119  72 
8DOLAR     PHG7850   119  59 
SV2BNL-11  PHG7850   119  298 
W7MOT-3    PHG5880   119  179 
N7ZEV-3    PHG3962   117  69 
SKYLIN     PHG6868   117  67 
EAGLE      PHG6860   117  42 
SOMTN      PHG6860   117  300 
SZ2EDE-12  PHG3960   117  279 
MISION     PHG6860   117  266 
AJO        PHG6868   117  19 
ABAJO      PHG6868   117  19 
WB4YNF-10  PHG6860   117  175 
KE6YJH-5   PHG4930   113  64 
HB9MM-4    PHG5878   113  247 
MSMAG      PHG4890   113  132 
MTMAG-14   PHG4890   113  132 
MTMAG-15   PHG4890   113  132 
MTMYG      PHG4890   113  132 
MTMAG      PHG4890   113  132 
VE7PAC-11  PHG3950   110  53 
SHAFER     PHG6850   110  53 
K7DDI-3    PHG5900   107  48 
VE7RPI-10  PHG5860   106  8 
GRZZLY     PHG5860   106  76 
BALL       PHG7830   106  31 
CABALL     PHG7830   106  31 
N6EX-1     PHG5864   106  300 
N8WCT-4    PHG7790   106  191 
BAXTER     PHG7830   106  19 
KD7AGA-5   PHG7830   106  19 
HRONMT     PHG7838   106  15 
IRONMT     PHG7838   106  15 
WA4KJH-7   PHG5860   106  133 
SLIDE      PHG7830   106  115 
BSLIDE     PHG7830   106  114 
WA5VXI     PHG5860   106  104 
IW9FOK-11  PHG3940   104  23 
EURKA      PHG9800   101  7 
CAVE       PHG9800   101  4 
V7MOT-14   PHG5850   100  72 
W7MOT-14   PHG5850   100  72 
W7EOT-14   PHG5850   100  72 
VE5ADR-4   PHG5850   100  5 
HOLDEN     PHG5858   100  29 
KANAB      PHG7825   100  17 
JANAB      PHG7825   100  17 
CANAB      PHG7825   100  17 
W2RGI      PHG5850   100  156 
K4EME-3    PHG5850   100  103 
MMTN       PHG6830   98   75 
MEDFRD     PHG6830   98   48 
VE6FAR-3   PHG3930   98   36 
IX1ESM-11  PHG6793   98   292 
IR3BT      PHG3930   98   233 
KE4CJA-4   PHG6830   98   126 
VE7PAC-4   PHG2960   95   38 
VE7FGC-10  PHG4900   95   126 
N3KTX-5    PHG5840   95   105 
W7VJD-10   PHG7810   94   30 
KF4OYS-3   PHG7770   94   241 
SV7FDG-11  PHG7770   94   180 
W8AKR      PHG7770   94   128 
WX3P       PHG7760   89   93 
F4AIE-3    PHG7760   89   92 
VK2AMW-1   PHG5830   89   61 
VE2RYE-3   PHG5790   89   58 
WD8WV-3    PHG5830   89   57 
K6IXA-2    PHG5830   89   52 
SEXTON     PHG5830   89   50 
LEWIS      PHG7800   89   5 
MTTOLO     PHG7760   89   46 
WA6YLB-3   PHG5830   89   45 
KE6HEC-3   PHG5830   89   33 
SZ1RKE-10  PHG5830   89   300 
COREY      PHG7800   89   28 
SAMTNM     PHG5830   89   22 
HB9BA      PHG5830   89   186 
N3DAB      PHG7760   89   166 
KF6RAL-4   PHG5830   89   15 
N0PBA-1    PHG5830   89   143 
GRND       PHG5830   89   12 
W4LAW-3    PHG5830   89   119 
VA2ZGB-3   PHG5830   89   10 
MTTHOM     PHG3875   87   167 
IR9AH      PHG3870   87   107 
N4NEQ-3    PHG3876   87   100 
W4NHV-9    PHG9690   85   97 
SK2VY-3    PHG9730   85   9 
KF4UCI-4   PHG4840   85   70 
KK7CN-8    PHG9690   85   61 
J41VAD     PHG4840   85   247 
KF6RAL-10  PHG5820   84   95 
CALMTN     PHG5820   84   89 
N3KTX-4    PHG5780   84   275 
F5ZQD-3    PHG7750   84   221 
F5ZQB-3    PHG7750   84   205 
KE6UKR-3   PHG5828   84   116 
KW4FM-3    PHG3860   82   78 
J47VAA     PHG3860   82   61 
VE6FAR-1   PHG3900   82   54 
TIGER      PHG3860   82   275 
F5ISQ-10   PHG3862   82   250 
VE6FAR-2   PHG3860   82   23 
J43VAF     PHG3860   82   129 
J48VAJ     PHG3860   82   115 
F6KUU-3    PHG4830   80   83 
VE7YNP     PHG2930   80   8 
ELKMTN     PHG4830   80   76 
WA6YLB-5   PHG4830   80   69 
BEAR       PHG4830   80   53 
MOXIE      PHG5812   80   50 
