BIG TALL digis that may be hearing TOO MANY STATIONS   Dec 2004
---------------------------------------------------------------

This is a list of ALL known DIGI's in the world heard by FINDU.  
Use it to see if your digi may be having possible reliablity 
problems for local users because it is hearing too many stations 
in its area (its own claimed PHG range).

Since anything above about 60 to 100 users is nearly a 100% saturated 
channel (called your ALOHA range), digis with more users appear 
to just hear too much to be able to reliably support local users
especially the low power ones.

The biggest problem has been far too many dupes due to the legcy
use of the old RELAY and WIDE paths that do no dupe elimination
and cause multiple dupes for every packet.  By eliminating these
dupes, and limiting big-N hops, most digis can support their
local users by properly setting the Big-N limit.  If that is not
enough then the ultimate solution can be to convert its output
to UHF where locals can monitor everything the digi hears and
get double the channel capacity becuse the digi does not digipeat
back onto 144.39.

Another possiblity is to put a very high digi that covers the same
area as other lower ones, is to put its input on 144.99 (if available)
to give priority to low power trackers and locals only there.

Or if the PHG here is unrealistic for your digi, then
consider updating your PHGXXXX string to better match reality.

This list Sorted by HIGHEST NUMBER OF USERS:

But remember that these numbers are inflated by lots of factors
so the best thing to do is to call up your digi on map.findu.com
and select NEAREST to see what all is in range of that digi.

DIGI-CALL  PHG       RNG  STNS
--------   --------  ---  ----
SIGNAL     PHG5890   127  300 
N6EX-2     PHG4960   135  300 
N5EOC      PHG7660   63   300 
SZ1RKE-10  PHG5830   89   300 
SOMTN      PHG6860   117  300 
W6SCE-10   PHG6960   165  300 
N3KTX-1    PHG7660   63   300 
WB6JAR-10  PHG5960   151  300 
J43VAG     PHG7860   126  300 
N6EX-1     PHG5864   106  300 
SV6AQV-11  PHG6990   196  300
SV2BNL-11  PHG7850   119  298 
SV2BNL-12  PHG6870   124  298 
SV2DCD-11  PHG6930   139  296 
N3KTX-2    PHG7680   70   296 
W6SCE-11   PHG6960   165  295 
N6EX-4     PHG5768   75   293 
IX1ESM-11  PHG6793   98   292 
W5DCR-3    PHG5660   53   290 
SZ2EDE-12  PHG3960   117  279 
SZ1RKE-11  PHG3830   69   277 
N3KTX-4    PHG5780   84   275 
TIGER      PHG3860   82   275 
MISION     PHG6860   117  266 
K6IXA-3    PHG5990   179  258 
WS2V-2     PHG6670   62   255 
K5FTW-5    PHG7600   44   250 
F5ISQ-10   PHG3862   82   250 
J41VAD     PHG4840   85   247 
HB9MM-4    PHG5878   113  247 
W1TOM-15   PHG7730   75   243 
KV3B-2     PHG5560   37   241 
KF4OYS-3   PHG7770   94   241 
SV4BHA-12  PHG2840   60   237 
IQ4PI-11   PHG2910   71   234 
IR3BT      PHG3930   98   233 
K7GIL-1    PHG5760   75   231 
SV4BHA-11  PHG2840   60   228 
DB0HP      PHG2920   75   227 
KG6OWS-3   PHG3820   65   224 
F5ZQD-3    PHG7750   84   221 
UQA        PHG5630   45   221 
SV1ATS-11  PHG3740   52   215 
J41UAB     PHG2760   47   214 
K5WWC-2    PHG9950   191  211 
SEA        PHG6550   39   209 
W4FXO-3    PHG6870   124  206 
WR6ABD     PHG5730   63   206 
W1KRU-2    PHG5660   53   205 
F5ZQB-3    PHG7750   84   205 
J42VAD     PHG2860   67   201 
SV2IHE-11  PHG2760   47   201 
N3IP       PHG6670   62   201 
VE3YAP     PHG5760   75   200 
KA1QFE-15  PHG5730   63   198 
IR2UCL-11  PHG3820   65   198 
KF3M-1     PHG7640   56   195 
N8WCT-4    PHG7790   106  191 
N1QPR-2    PHG5630   45   190 
KX1EOC-15  PHG5660   53   189 
HB9BA      PHG5830   89   186 
WA1LOU-15  PHG9581   56   185 
SZ1RKE-12  PHG3830   69   182 
VE2RLT-3   PHG5890   127  182 
SZ1RKE     PHG3830   69   182 
SV7FDG-11  PHG7770   94   180 
W7MOT-3    PHG5880   119  179 
HB9CH-10   PHG3810   62   179 
WB4YNF-10  PHG6860   117  175 
W6APA      PHG7690   75   175 
W5GDC-15   PHG5430   22   172 
IQ2LC-11   PHG5730   63   170 
W6JPL-2    PHG5580   42   170 
N2NSA-1    PHG6560   41   168 
MTTHOM     PHG3875   87   167 
N3DAB      PHG7760   89   166 
UWBY       PHG5560   37   164 
WB9WOZ-14  PHG7560   44   163 
WB9WOZ-15  PHG7560   44   163 
W5NGU-3    PHG5530   31   159 
W6CX-3     PHG7550   42   157 
N3XBO-5    PHG5660   53   156 
W2RGI      PHG5850   100  156 
W7SIX-10   PHG5660   53   149 
N0PBA-1    PHG5830   89   143 
IR1AO      PHG2840   60   143 
VE2RAW-3   PHG5730   63   142 
KB2EAR-1   PHG7490   37   142 
F4GKF-3    PHG5740   67   139 
F4GCF-15   PHG5740   67   139 
W9SM-10    PHG9790   120  139 
N0WBW-4    PHG4730   56   139 
W5MRC-15   PHG5530   31   137 
N7QXO-9    PHG7650   59   137 
IR3AS      PHG5730   63   135 
W1YK       PHG7490   37   134 
KG4YZY-11  PHG7580   50   133 
LU5AGQ-4   PHG5480   30   133 
WA4KJH-7   PHG5860   106  133 
MTMYG      PHG4890   113  132 
MTMAG      PHG4890   113  132 
MSMAG      PHG4890   113  132 
MTMAG-14   PHG4890   113  132 
MTMAG-15   PHG4890   113  132 
N5QIA-9    PHG9990   241  131 
WB6WLV-11  PHG7730   75   131 
WD4HDL-1   PHG5632   45   131 
SZ4THE     PHG2840   60   131 
W4OZK-7    PHG7730   75   130 
W1GTT-15   PHG7560   44   130 
KB7ITU-10  PHG8970   202  129 
J43VAF     PHG3860   82   129 
W8AKR      PHG7770   94   128 
F6KGT-3    PHG3760   58   127 
IR3BR      PHG5730   63   126 
VE7FGC-10  PHG4900   95   126 
KE4CJA-4   PHG6830   98   126 
N4DAV-10   PHG7460   31   124 
SHEPRD     PHG6910   124  121 
W4LAW-3    PHG5830   89   119 
WA2JNF-15  PHG5530   31   119 
KV3B-1     PHG5460   26   117 
VE7DIE-11  PHG5660   53   117 
KE6UKR-3   PHG5828   84   116 
K3XY-3     PHG5660   53   115 
SLIDE      PHG7830   106  115 
J48VAJ     PHG3860   82   115 
W1AAA-15   PHG7560   44   115 
BSLIDE     PHG7830   106  114 
KING       PHG6950   156  114 
W4HSO-11   PHG7460   31   113 
VE7RNL-10  PHG5950   142  112 
KB7ZVA-11  PHG6870   124  111 
WB0HAC     PHG5591   44   109 
N0KZ-5     PHG4760   67   107 
IR9AH      PHG3870   87   107 
BAKER      PHG5960   151  106 
IR6AF      PHG2850   63   106 
VE2RIO-3   PHG5630   45   106 
N3KTX-5    PHG5840   95   105 
HB9CH-11   PHG5631   45   105 
WA5VXI     PHG5860   106  104 
WX2NJ-15   PHG6560   41   104 
K4EME-3    PHG5850   100  103 
N5TAM-3    PHG7480   35   102 
WV0T-9     PHG5560   37   101 
W4AQL      PHG7470   33   101 
BULLMT     PHG2667   33   101 
KA2QYE-10  PHG6730   69   101 
VE7IPB-10  PHG5730   63   100 
N4NEQ-3    PHG3876   87   100 
KD4PBS-3   PHG5760   75   99 
W4ACS-10   PHG5460   26   99 
MULE       PHG4960   135  98 
W4NHV-9    PHG9690   85   97 
JOJ        PHG7870   133  97 
VA3BAL     PHG5650   50   97 
VK3CV-1    PHG5714   56   96 
LD1OT-2    PHG3732   49   96 
KF6RAL-10  PHG5820   84   95 
TESQUE     PHG5930   127  95 
SUMAS      PHG2810   50   95 
F6KBR-10   PHG2858   63   94 
WA6MHZ-10  PHG5660   53   94 
PI1FLD     PHG3530   24   94 
WX3P       PHG7760   89   93 
WD5IYT-2   PHG9550   47   92 
VE7ONE     PHG5660   53   92 
CREST      PHG5930   127  92 
F4AIE-3    PHG7760   89   92 
VE7PAC-12  PHG5950   142  91 
LAMOSC     PHG5930   127  91 
CALMTN     PHG5820   84   89 
AB4KN-2    PHG7550   42   88 
K3JF-15    PHG6460   29   88 
WD5IYT-1   PHG9550   47   87 
VK3RMD-1   PHG5624   42   87 
WA7RVV-11  PHG6940   147  87 
N4WYK-2    PHG5730   63   87 
VK3MY-2    PHG7538   37   86 
W2DAN-15   PHG7560   44   86 
IK0XWV-11  PHG5650   50   86 
W0PC-15    PHG7680   70   85 
N4SER-10   PHG7560   44   85 
K0SUN-15   PHG5494   31   84 
PA3BNX-2   PHG7450   29   83 
AI5TX-2    PHG9550   47   83 
F6KUU-3    PHG4830   80   83 
KQ1L-2     PHG5730   63   83 
KD4BBM-6   PHG5760   75   83 
W1CAR-1    PHG3760   58   82 
EDMOND     PHG8460   33   82 
GRNBOX     PHG5930   127  82 
KA4KMA-1   PHG7660   63   81 
KA4KMA-5   PHG7660   63   81 
W3SK       PHG7430   26   81 
N8YIB-2    PHG5760   75   79 
K4NRC-7    PHG7590   53   78 
KW4FM-3    PHG3860   82   78 
STN4907    PHG3630   34   77 
WB6TMS-5   PHG3730   49   77 
N4DKE-7    PHG6690   69   77 
LD3SKA     PHG3768   58   76 
KQ1L-1     PHG5730   63   76 
N4NEQ-2    PHG8460   33   76 
ELKMTN     PHG4830   80   76 
GRZZLY     PHG5860   106  76 
K6JE-3     PHG5630   45   75 
COLDSP     PHG5940   134  75 
MMTN       PHG6830   98   75 
SNOBNK     PHG7930   150  74 
VE2RTA-3   PHG5630   45   73 
DB0GER     PHG5630   45   73 
W5PDO-1    PHG5760   75   73 
WA7RVV-12  PHG5940   134  73 
J7ZEV-2    PHG5880   119  72 
N7ZEV-2    PHG5880   119  72 
V7MOT-14   PHG5850   100  72 
W7MOT-14   PHG5850   100  72 
W7EOT-14   PHG5850   100  72 
K4GIG-7    PHG5670   56   72 
W0HDD-1    PHG3732   49   72 
IK8TGH-11  PHG5460   26   71 
KA4KMA-4   PHG7630   53   71 
DB0ZWI     PHG5630   45   71 
KF4UCI-4   PHG4840   85   70 
VE2RCL-3   PHG5890   127  70 
K2AMB-3    PHG5750   71   70 
VK2JPJ-1   PHG5750   71   70 
2JPJ-1     PHG5750   71   70 
K0SUN-10   PHG5494   31   70 
PI1HLM     PHG3500   20   70 
W1PIG      PHG3690   49   69 
WA6YLB-5   PHG4830   80   69 
N7ZEV-3    PHG3962   117  69 
KC4ZGQ-2   PHG7660   63   69 
KD4DLT-7   PHG5463   26   69 
W2AEE      PHG5430   22   68 
F8KGD      PHG4580   37   67 
KA8ZNY-10  PHG8490   40   67 
SKYLIN     PHG6868   117  67 
CAPILA     PHG6730   69   67 
KD4BJW-2   PHG5630   45   67 
IZ8FEX-11  PHG5460   26   66 
K1JY-2     PHG2830   56   66 
OE9XPT     PHG2830   56   66 
EUREKA     PHG7730   75   65 
K4LKL-10   PHG7460   31   65 
J44VAA     PHG3650   39   64 
CNABAR     PHG5960   151  64 
K8UI-5     PHG6520   32   64 
W7HDO-10   PHG5750   71   64 
J44UAB     PHG3650   39   64 
KE6YJH-5   PHG4930   113  64 
NT4L-1     PHG7630   53   63 
W8AKR-2    PHG6540   36   63 
W4SBO-7    PHG5630   45   63 
VE2RTS-3   PHG6440   26   62 
VE2RPL-3   PHG5890   127  62 
W4GPS-7    PHG5630   45   62 
RAVEN      PHG5630   45   62 
VE2RT3     PHG6440   26   62 
AA4QI-1    PHG5660   53   61 
J47VAA     PHG3860   82   61 
WA6AFT-3   PHG5462   26   61 
IR7T       PHG3850   78   61 
KK7CN-8    PHG9690   85   61 
N9UMJ-10   PHG7560   44   61 
VK2AMW-1   PHG5830   89   61 
CEDRO      PHG4630   40   61 
N9UMJ-9    PHG7560   44   61 
EA4URA-3   PHG5450   25   60 
W8MWO      PHG6438   24   60 
WR8RA      PHG6530   34   60 
KB0UUR     PHG4665   47   60 
K6SYV-10   PHG7730   75   60 
K8CAD-3    PHG7730   75   60 
VE7SFU-10  PHG3600   29   59 
WB1EMT-1   PHG5380   21   59 
8DOLAR     PHG7850   119  59 
WA7TAI-10  PHG4560   33   59 
KB9YVI-9   PHG5490   31   58 
VE2RYE-3   PHG5790   89   58 
WB0NOO-2   PHG5560   37   58 
KB9YVI-10  PHG5490   31   58 
NT4L-3     PHG5560   37   58 
KB9YVI-8   PHG5490   31   58 
KB4TOH-10  PHG5760   75   57 
WD8WV-3    PHG5830   89   57 
W1PIG-5    PHG5760   75   57 
VE3RPT     PHG4641   42   57 
W6CO-5     PHG2736   40   57 
N0NAS-10   PHG7420   25   57 
HG5PBD-2   PHG4730   56   56 
OH2RDG     PHG8470   35   56 
NS9RC      PHG5360   18   55 
