RCVR	XMTR	RX-Bars	RXgain	TXpwr	TXgain	Dist	Mast	Predict
KN-15	SL-14		-3			61		
SL-14	KN-15			5	-3	61		
SL-14	MW-13			50	6.5	102		
MW-13	SL-14		6.5			102	6	
MW-13	EQ-12		6.5	50	5.1	100	6	
EQ-12	MW-13	7	5.1	50	6.5	100		
EQ-12	GL-11	2	5.1	50	6	48		
GL-1	EQ-12	3	6	50	5.1	48		
GL-11	SP-10	7	6			61		
SP-10	GL-11			50	6	61		
SP-10	CB-9					97		
CB-9	SP-10	0				97		
CB-9	GD-8	0		25	3	78		
GD-8	CB-9	6	3			78	12	
GD-8	MD-7	7	3			70	12	
GD-8	SM-6	2	3			153	12	
MD-7	GD-8	7	?	25	3	70		
MD-7	SM-6	7		10	4.6	70		
SM-6	MD-7	7	4.6			70		
SM-6	GD-8	1	4.6			153		
SM-6	AO-5	5	4.6			111		
AO-5	SM-6			50	4.6	111		
AO-5	CR-4			50	4.5	103		
CR-4	AO-5	7	4.5			103	15	
CR-4	RO-3	7	4.5	50	4.5	72	15	
RO-3	CR-4	7	4.5	50	4.5	72		
RO-3	CD-2	2	4.5	10		89		
CD-2	RO-3			50	4.5	89	18	
CD-2	SP-1					75	18	
CD-2	LO-1							
LO-1	CD-2			10				
SP-1	CD-2					75		
